timestamp,hour,day,month,day_of_week,pm25,pm10,no2,so2,co,o3,temperature,pressure,humidity,wind,aqi,aqi_change_rate
2026-08-05T21:34:54.690026,21,5,8,2,161,,,,,,31,1016,3,5.1,161,
2026-08-05T21:38:06.816283,21,5,8,2,161,,,,,,31,1016,3,5.1,161,0.0
